AH_hour,H_hour,T1_hour,T2_hour,T3_hour,T4_hour,T5_hour,quality_class
6.77,163.062,307,364,549,291,263,good
5.29,163.101,291,361,533,292,266,good
9.07,162.815,280,345,487,308,262,good
7.55,162.648,266,325,494,323,251,good
8.7,163.046,245,299,541,337,233,good
7.44,162.978,223,308,537,349,217,suspect
7.31,162.724,230,322,536,343,211,suspect
7.78,163.409,230,325,541,335,220,suspect
9.15,162.845,236,326,536,352,237,suspect
6.36,162.79,227,323,530,362,256,good
7.91,163.002,236,307,527,369,273,good
8.78,163.081,236,303,525,378,269,good
7.08,163.129,229,306,532,355,267,good
9.96,162.84,225,307,535,392,267,good
6.12,166.241,226,308,532,374,270,suspect
8.46,149.975,226,306,525,367,269,good
7.62,150.225,225,305,519,394,269,good
6.79,149.919,232,304,523,413,271,good
7.74,149.982,231,308,542,405,266,good
6.95,150.38,228,321,535,356,253,good
7.5,149.755,230,336,506,342,246,good
7.85,151.544,231,346,504,342,234,good
8.05,156.196,231,352,510,336,222,good
6.33,168.579,230,334,516,322,205,good
9.67,185.859,224,329,519,296,189,good
7.15,178.35,236,341,515,286,191,good
6.7,176.176,251,313,516,308,218,good
7.94,179.574,256,303,506,277,222,good
6.08,198.729,247,315,520,278,210,good
8.7,186.897,239,327,518,318,214,good
8.05,182.06,239,291,507,314,215,good
7.39,181.819,237,297,483,319,210,good
9.38,182.199,236,307,464,320,215,good
7.19,182.34,230,309,446,319,228,good
8.6,181.6,245,316,430,318,238,good
7.58,181.922,233,341,410,312,241,good
5.96,182.139,239,354,406,315,248,suspect
6,172.141,240,368,405,317,267,suspect
6.64,153.61,240,380,416,347,278,suspect
7.81,152.94,243,387,446,342,290,good
7.22,152.938,250,385,473,333,300,good
6.06,152.788,264,379,488,339,290,good
5.82,153.204,284,379,503,367,265,good
7.33,152.927,284,381,512,375,245,good
6.89,152.823,272,381,516,375,237,good
7.18,154.276,257,375,507,378,245,good
7.91,155.807,242,364,506,373,258,good
6.83,177.22,228,357,519,357,259,good
6.48,182.915,215,357,516,341,254,good
6.83,188.363,209,362,511,331,248,good
5.12,189.281,208,369,519,312,244,good
7.98,189.264,208,352,522,302,235,good
7.13,189.254,207,340,509,299,214,good
9.27,188.607,210,330,505,311,212,good
6.86,189.033,219,330,547,329,214,good
9.97,189.012,232,337,599,341,206,good
8.08,189.285,250,336,571,356,216,good
8.82,188.895,259,329,518,379,209,good
6.84,189.064,259,327,497,385,210,good
9.12,189.131,255,334,483,369,213,good
5.84,185.115,244,338,474,362,210,good
8.37,170.784,231,343,450,341,209,good
8.58,171.373,229,353,458,339,208,good
7.37,188.728,210,363,437,331,210,good
9.65,174.334,225,377,416,327,211,good
6.74,157.91,243,377,431,325,209,good
8.11,163.715,254,373,438,326,209,good
6.26,169.414,262,373,433,331,211,good
8.28,182.271,277,374,433,339,213,good
9.88,182.614,282,365,436,347,210,good
7.56,181.67,286,348,438,347,209,good
7.9,182.167,282,333,433,338,216,good
9.58,181.713,273,332,455,327,228,good
6.93,180.881,277,327,458,344,216,good
7.11,180.26,281,316,441,372,207,good
9.38,179.647,283,313,441,368,207,good
7.46,180.219,271,319,453,362,210,good
5.9,180.001,261,331,447,361,208,good
6.83,180.182,253,346,437,356,212,good
7.78,180.039,269,356,418,339,212,good
7.46,185.873,281,354,405,324,211,good
5.41,185.726,270,342,429,315,210,good
8.32,192.34,251,338,471,311,211,good
7.67,192.955,237,347,456,316,209,good
6.65,192.986,232,349,477,327,206,good
8.65,192.332,245,356,489,332,208,good
7.67,175.741,256,359,491,343,222,good
7.69,171.08,256,340,482,413,244,good
8.43,171.113,259,341,479,453,251,good
7.68,170.968,259,344,487,292,236,good
8.1,171.153,255,339,508,249,229,good
8.74,170.771,240,342,528,334,231,good
6.1,172.417,232,344,519,390,234,good
7.5,176.752,232,343,535,382,238,good
5.16,177.194,238,343,543,388,247,good
7.88,184.809,242,342,473,430,262,good
7,195.914,243,345,466,397,279,good
7.81,196.014,225,346,478,368,286,good
5.78,195.918,218,341,489,378,287,good
9.12,182.582,221,346,499,387,289,good
7.47,160.571,221,345,508,385,289,good
8.18,168.576,228,303,498,394,289,good
7.49,171.735,242,339,483,360,290,good
6.69,171.85,256,297,466,378,290,good
8.39,171.578,264,353,444,390,289,good
7,171.739,265,372,433,383,288,good
7.41,171.892,266,362,434,385,290,suspect
7.16,172.184,263,352,430,373,292,suspect
7.26,172.421,260,321,441,353,291,suspect
7.78,171.886,261,324,459,340,289,suspect
7.09,171.98,262,368,477,328,280,good
8.34,172.115,256,355,486,312,287,good
6.73,172.135,239,355,503,296,281,good
7.89,168.258,222,362,520,303,275,good
7.46,172.479,208,359,524,304,270,good
7.62,176.894,199,349,519,304,269,good
8.21,176.967,200,360,537,302,258,good
6.34,176.997,200,368,564,305,255,good
8.8,177.214,201,362,537,307,260,good
8.58,176.829,203,340,505,316,259,good
7.79,177.032,196,349,473,317,265,good
6.48,177.239,201,370,462,319,271,good
6.85,177.245,198,369,445,286,260,good
6.59,177.254,191,370,435,354,239,good
8.77,177.158,201,384,432,382,226,good
7.49,176.956,201,395,431,371,214,good
7.02,177.099,200,395,442,387,187,good
6.29,176.704,203,393,448,384,224,good
7.41,176.798,202,382,435,383,229,good
7.21,177.289,200,367,431,368,249,good
6.83,176.804,201,359,443,365,259,good
9.6,177.206,207,362,455,352,261,good
5.18,176.869,203,345,455,380,269,good
8.18,177.308,200,318,444,382,257,good
6.93,177.074,200,207,436,380,243,good
7.42,176.874,203,276,436,381,236,good
9.09,177.167,213,342,442,380,229,good
7.98,176.836,228,351,442,383,228,good
9.23,174.931,241,341,436,380,228,good
7,150.805,261,335,440,420,221,good
6.86,150.922,276,340,440,427,225,good
5.89,150.899,285,354,441,383,231,good
7.34,151.639,289,367,452,374,244,good
5.3,150.591,291,371,476,389,250,good
7.52,151.098,293,361,489,385,232,good
7.63,151.064,294,358,486,382,233,good
6.6,151.05,295,371,465,378,238,good
6.71,153.076,294,384,442,369,253,good
8.32,157.218,292,384,456,364,275,good
8.16,188.245,297,383,494,356,233,good
6.53,190.144,299,383,501,351,238,good
7.57,169.83,305,381,512,332,229,good
8.64,170.238,292,375,534,313,218,good
7.38,170.343,252,369,534,305,211,good
4.62,170.02,206,367,527,301,206,good
5.63,169.958,257,368,517,303,223,good
8.11,194.088,270,370,505,298,249,good
7.04,188.877,247,370,482,283,230,good
8.29,176.346,243,367,461,291,235,good
7,155.93,234,370,451,295,232,good
8.42,155.924,231,381,459,292,234,good
6.91,157.746,244,381,474,300,240,good
8.23,164.899,254,369,495,313,243,good
7.48,171.091,263,351,505,334,244,good
7.56,174.073,256,332,511,359,244,good
6.68,166.446,252,315,529,367,240,good
9.18,152.103,251,311,537,359,233,good
7.26,152.202,244,312,527,347,238,good
7.69,151.817,248,321,509,354,253,good
6.77,151.994,246,322,491,354,266,good
9.9,152.141,247,320,476,350,274,good
7.65,151.441,248,338,462,352,273,good
6.48,156.874,248,332,454,347,265,good
8.07,156.708,247,323,457,356,253,good
9.08,157.024,245,316,464,350,251,good
8.82,156.554,245,321,467,337,248,good
5.99,156.803,243,326,456,331,246,good
7.65,159.637,244,321,454,336,247,good
8.32,164.961,251,295,459,351,249,good
8.14,168.004,270,299,459,370,249,good
9.67,181.956,274,308,460,377,248,good
5.89,181.902,286,309,451,376,250,good
8.42,180.987,295,310,446,372,250,good
6.76,179.821,287,309,458,365,247,good
7.25,175.289,296,312,469,360,249,good
8.39,169.779,292,321,489,357,259,good
8.46,170.07,269,334,506,358,266,good
7.97,154.299,250,345,517,359,269,good
7.91,152.393,247,349,510,359,274,good
9.86,151.737,255,344,516,361,271,good
7.88,152.295,258,334,536,362,260,good
7.11,153.421,266,327,545,362,247,suspect
6.42,174.391,267,343,561,359,232,suspect
7.49,174.171,269,362,564,353,229,suspect
7.74,173.821,275,379,562,341,235,good
9.79,182.564,284,386,562,329,243,good
7.24,183.871,288,383,551,319,242,good
6.66,183.685,281,368,536,313,234,good
7.41,183.738,271,362,535,309,229,good
7.37,190.7,257,373,532,313,228,good
7.1,191.994,243,378,499,314,226,good
5.19,192.215,251,369,483,320,223,good
8.93,191.512,257,363,495,334,255,good
7.3,192.188,261,359,511,339,269,good
5.96,191.818,278,355,521,336,244,good
7.77,191.893,295,356,529,329,245,good
5.77,192.108,297,354,535,332,264,good
5.6,192.84,298,348,528,332,273,good
6.26,191.991,296,348,507,328,268,good
7.79,152.959,290,347,494,326,266,good
6.05,152.846,275,360,507,321,269,good
8.15,153.148,264,372,520,325,265,good
5.48,178.617,271,375,516,320,268,good
6.92,190.959,282,364,503,318,274,good
9.66,191.38,298,351,500,320,274,good
7.84,171.424,274,349,489,313,272,good
7.57,167.186,279,353,490,312,271,good
7.4,166.765,295,346,492,314,269,good
6.87,167.517,296,331,492,317,272,good
7.41,166.367,290,339,489,321,274,good
7.08,156.658,283,344,480,325,273,good
6.54,156.312,270,357,481,329,270,good
6.73,164.119,252,334,474,338,265,good
8.96,163.94,243,338,406,347,255,good
6.84,164.061,222,340,507,348,264,good
7.36,164.292,205,333,455,331,278,good
7,164.158,202,318,447,326,268,good
8.1,152.571,217,313,450,308,269,good
7.78,151.913,236,316,448,298,268,good
8.66,152.621,241,328,457,305,263,good
7.38,177.961,233,343,452,310,250,good
7.81,177.81,227,347,449,310,238,good
9.36,177.665,231,342,453,309,223,good
6.93,178.01,231,339,459,312,223,good
9.25,178.114,230,339,470,319,228,good
6.86,177.967,226,340,467,313,241,good
8.4,177.723,219,341,454,302,249,good
8.2,177.903,214,340,450,297,257,good
9.06,178.096,212,341,449,302,257,good
8.84,177.985,215,343,450,316,254,good
8.65,178.002,216,340,447,335,253,good
8.91,177.93,218,343,449,349,256,good
8.62,177.973,227,333,447,341,255,good
6.75,178.032,240,278,461,335,249,good
5.36,177.928,257,291,429,333,249,good
6.24,178.058,268,340,440,333,254,good
7.46,177.954,287,319,459,329,249,suspect
9.2,177.931,290,319,474,337,245,suspect
7.1,177.931,302,331,460,335,247,suspect
6.42,178.051,291,330,432,319,243,suspect
7.17,181.618,272,334,441,314,231,suspect
6.82,191.168,271,343,461,309,223,good
7.31,182.311,263,359,470,315,222,good
6.41,158.702,267,371,480,311,219,good
6.81,156.88,276,388,493,315,220,good
7.14,156.867,264,387,527,314,228,good
7.58,169.288,250,386,527,311,218,good
7.77,160.155,244,389,510,330,212,good
8.72,164.505,241,390,507,341,206,good
8.92,187.833,238,400,545,334,208,suspect
9.12,184.847,235,386,541,329,205,good
8.46,185.095,236,387,525,330,205,good
8.86,184.667,237,387,515,328,214,good
6.6,185.185,237,385,517,326,225,good
4.57,184.729,237,391,523,332,238,good
8.94,184.573,239,386,521,357,252,good
6.15,185.172,235,375,529,372,264,good
8.64,185.053,261,362,536,382,277,good
7.18,185.034,251,361,525,387,292,good
9.65,185.062,238,358,530,382,290,good
5.99,192.514,238,343,532,362,290,good
7.34,191.937,237,337,534,349,283,good
7.19,164.285,239,330,530,339,271,good
7.7,164.866,239,327,529,330,276,good
7.67,164.989,239,327,526,337,275,good
8.48,164.661,234,337,532,333,270,good
8.26,164.7,228,355,554,327,258,good
5.88,165.999,226,370,566,327,243,good
5.97,169.102,234,384,569,330,226,suspect
7.13,169.083,230,393,573,329,209,suspect
7.36,168.87,227,401,571,331,204,suspect
7.5,169.323,220,395,569,337,210,suspect
5.9,168.928,219,387,547,332,207,suspect
8.32,168.867,228,366,535,331,206,suspect
5.85,168.674,241,357,528,313,202,suspect
7.57,168.693,257,346,501,330,206,good
7.6,186.911,269,332,511,341,214,good
8.75,173.902,283,325,526,340,231,good
8.68,172.487,288,328,529,333,240,good
8.67,173.082,286,323,530,335,236,good
6.37,173.133,285,328,518,336,236,good
5.71,172.583,279,328,495,312,234,good
7.68,173.038,269,318,489,312,237,good
8.61,173.006,255,332,472,325,240,good
8.45,173.641,240,318,459,342,233,good
6.64,174.369,227,322,457,334,222,good
7.36,173.978,220,343,459,332,213,good
8.38,174.078,219,357,456,326,208,good
6,166.839,219,368,471,315,210,good
6.89,162.894,221,363,493,311,220,good
7.19,162.937,222,363,509,324,225,good
6.78,162.466,211,314,531,332,226,good
6.56,163.275,218,291,540,328,228,good
8.63,181.945,223,351,522,337,243,good
8.33,189.829,224,331,505,342,259,good
7.61,156.572,223,314,499,340,248,good
7.45,152.646,220,325,493,339,242,good
8.62,151.604,220,328,455,344,235,good
7.65,151.915,221,329,441,347,239,good
6.74,169.742,216,316,453,345,244,good
8.77,174.01,225,324,445,356,246,good
10.74,183.916,257,332,443,359,248,good
7.11,186.022,261,335,440,381,248,good
6.37,186.748,270,342,440,404,253,good
8.87,185.828,285,340,449,437,230,good
5.17,175.49,298,333,452,391,247,good
7.29,191.68,299,328,450,286,246,suspect
6.8,192.929,297,349,445,229,247,suspect
8.5,193.326,299,345,464,249,245,suspect
8.26,191.569,288,347,477,307,251,good
7.55,168.049,272,343,518,280,257,good
7.7,171.279,256,345,508,228,263,good
6.9,171.703,239,343,486,342,268,good
8.41,172.303,231,328,480,355,273,good
7.79,171.676,235,314,469,358,278,good
8.84,157.313,248,302,486,352,275,good
7.75,155.655,264,300,493,354,263,good
6.05,155.922,274,294,493,372,254,good
7.19,156.195,277,294,483,363,237,good
6.94,156.162,277,296,474,358,236,good
6.5,156.137,271,308,476,367,224,good
6.33,156.238,274,321,495,371,227,good
6.57,156.014,283,326,511,373,217,good
8.88,155.865,286,328,511,375,227,good
6.63,155.764,276,328,529,357,234,good
8.49,156.354,276,322,551,370,223,good
8.37,155.777,279,310,553,372,223,suspect
7.32,155.789,275,309,536,358,221,suspect
9.99,156.028,272,318,528,348,221,good
7.35,156.23,273,329,525,323,223,good
6.76,156.055,278,309,520,320,220,good
7.84,156.043,277,300,506,322,216,good
4.75,155.736,275,300,505,328,223,good
9.9,155.855,268,332,495,338,236,good
8.59,156.13,274,345,502,337,229,good
9.18,155.87,271,337,509,332,212,good
8,155.719,274,310,510,330,224,good
6.19,161.871,273,313,502,327,225,good
7.97,171.497,278,397,532,321,226,good
6.92,177.476,274,428,535,314,231,good
6.89,197.981,266,385,518,306,230,good
8.18,198.138,265,361,507,308,220,good
8.49,197.605,276,350,511,323,227,good
8.27,197.433,280,352,516,310,225,good
5.15,197.641,279,344,510,330,224,good
6.23,198.016,268,337,503,349,223,good
5.56,193.022,258,329,523,335,221,good
10.08,167.731,249,335,549,326,217,good
7.35,178.408,245,339,526,341,215,good
6.24,182.967,248,338,507,340,221,good
8.97,180.413,258,323,519,345,222,good
7.56,171.04,262,322,511,342,234,good
8.54,170.722,257,351,506,341,245,good
6.15,170.962,257,379,502,321,253,good
7.72,171.169,260,375,498,314,254,good
6.32,183.259,258,377,498,318,255,good
6.07,197.624,257,389,479,316,265,good
8.94,197.928,259,386,437,315,265,suspect
6.73,197.729,260,386,426,314,277,suspect
7.78,198.137,260,389,421,312,273,suspect
7.53,198.136,255,390,422,316,270,suspect
6.91,197.781,259,388,427,313,269,suspect
8.88,198.272,259,385,436,318,273,suspect
9.94,183.744,253,380,450,336,278,suspect
8.47,186.182,253,370,454,343,276,good
7.2,188.616,244,364,458,342,263,good
7.26,187.771,253,364,463,335,272,good
6.9,188.082,244,371,460,329,276,good
6.51,187.933,245,345,457,339,265,good
7.71,187.764,246,327,437,351,247,good
6.05,188.417,245,334,426,357,232,good
7.96,171.198,245,358,415,353,226,suspect
7.81,160.015,243,376,414,359,220,good
6.94,160.112,241,377,450,355,222,good
6.26,159.866,241,375,457,340,227,good
7.72,164.071,243,380,480,342,236,good
9.57,163.559,243,369,490,342,245,good
9.84,161.871,245,354,509,329,251,good
7.97,161.909,243,402,523,325,253,good
8.51,161.801,243,386,541,328,255,good
7.6,162.088,245,381,543,340,253,good
7.06,174.715,246,360,557,332,248,good
5.83,187.221,241,303,564,321,250,suspect
7.71,187.047,231,242,567,321,257,good
7.66,187.243,219,266,567,328,248,good
7.14,187.138,223,354,570,325,238,suspect
6.12,187.483,229,358,579,329,236,suspect
6.54,187.597,230,396,572,354,237,good
6.87,184.938,218,388,558,361,236,good
6.01,176.31,217,394,537,368,234,good
9.05,176.374,216,393,519,376,229,good
7.71,175.857,223,389,501,386,226,good
5.86,176.236,230,388,493,388,229,good
6.18,175.97,241,386,494,378,200,good
6.27,192.472,252,380,493,360,235,good
8.47,189.945,229,360,515,343,268,good
6.96,172.33,233,345,523,326,260,good
8.6,171.972,215,336,536,327,258,good
8.46,172.063,214,341,489,344,250,good
8.12,171.887,213,351,474,333,248,good
9.52,171.932,212,352,465,321,262,good
7.24,166.009,212,361,477,335,269,good
8.22,182.637,211,364,465,347,283,good
8.01,183.513,214,355,472,366,298,good
6.17,183.725,209,349,489,380,306,good
7.7,183.065,210,336,488,391,303,good
7.29,182.322,213,312,486,376,299,good
7.8,183.229,213,312,480,361,296,good
7.42,183.252,211,313,470,366,297,good
6.26,183.392,212,315,462,364,299,good
9.1,168.693,209,321,470,364,300,good
6.3,151.142,200,318,466,376,301,good
10.2,154.905,206,318,465,372,299,good
8.88,176.908,207,333,466,372,289,good
7.26,177.14,196,344,486,375,271,good
7.86,176.965,204,331,509,375,255,good
6.76,176.75,210,332,508,371,242,good
5.62,172.611,221,327,492,365,234,good
7.57,168.202,242,324,477,366,238,good
5.41,167.892,256,324,473,370,235,good
7.89,168.264,267,324,489,372,238,good
8.53,156.564,272,324,509,372,233,good
7.2,150.108,272,323,523,370,224,good
5.62,149.699,270,326,527,366,219,good
6.4,150.131,269,310,523,352,215,suspect
7.91,163.716,272,339,513,356,214,good
7.38,180.107,272,351,504,347,222,good
7.28,185.592,274,364,500,339,223,good
9.18,187.042,278,373,500,351,227,good
7.2,186.916,287,373,502,352,237,good
6.85,187.218,289,374,506,363,237,good
6.94,187.311,278,376,512,380,238,good
5.98,187.056,268,371,499,391,230,good
7.5,187.365,253,374,503,390,227,good
5.18,186.878,236,378,500,387,220,good
5.3,186.891,221,377,500,389,208,good
5.95,187.175,214,374,493,393,208,good
7.4,187.009,221,373,481,386,205,good
8.06,187.124,225,369,460,381,203,good
5.93,186.778,223,377,442,380,199,good
5.66,187.487,220,375,424,381,258,good
6.06,187.086,221,382,417,387,317,good
6.46,187.302,224,373,428,396,326,good
7.61,186.808,227,378,425,402,307,good
8.12,187.069,226,377,421,402,295,suspect
6.83,186.878,221,382,411,392,297,suspect
7.38,186.627,223,391,420,366,300,suspect
9.4,187.074,224,389,434,374,298,suspect
9.53,187.05,224,378,458,378,296,good
7.08,181.403,224,369,460,394,288,good
6.55,164.329,226,378,476,374,276,good
7.82,162.986,228,378,497,311,264,good
9.9,160.044,228,387,516,328,251,good
7.58,160.052,229,391,525,368,237,good
7.32,159.909,228,393,539,377,226,good
7.02,160.365,226,388,536,377,236,good
6.79,160.294,227,386,535,363,252,good
6.8,159.915,233,384,537,381,264,good
9.24,159.696,230,366,527,396,263,good
7.15,160.175,231,349,525,346,267,good
7.03,160.431,232,341,533,387,274,good
6.68,159.759,249,327,533,370,282,good
6.54,153.391,256,311,529,345,278,good
6.62,149.977,242,317,526,339,253,good
6.3,150.372,224,320,522,347,230,good
8.45,150.402,220,325,526,363,235,good
6.61,172.562,219,345,533,370,249,suspect
6.54,178.223,219,334,530,377,257,good
6.91,169.188,218,331,526,380,270,good
5.63,159.235,218,347,530,380,281,good
5.68,159.461,219,358,533,357,287,good
5.9,159.148,221,367,541,327,289,good
8.72,158.95,216,369,546,303,287,good
6.1,158.921,210,373,540,286,282,good
8.76,158.9,208,362,540,264,270,good
9.71,159.365,214,369,547,261,258,suspect
6.36,159.097,220,368,545,269,248,suspect
8.78,158.809,229,349,546,306,245,suspect
6.13,176.834,241,343,538,356,253,suspect
6.85,190.746,246,353,545,355,261,good
5.63,190.964,254,358,538,348,262,good
7.17,190.823,283,403,521,349,266,good
7.27,190.991,287,388,505,352,269,good
6.7,190.778,286,387,497,361,256,good
9.46,191.097,285,393,498,372,231,good
7.5,191.109,284,371,510,386,214,good
7.96,190.594,281,356,519,389,217,good
6.87,191.318,269,383,533,383,211,good
5.07,190.989,261,387,532,366,206,good
8.28,193.219,271,404,541,343,207,good
7.44,193.005,282,399,545,339,206,good
6.21,192.98,285,395,535,357,194,good
4.83,192.99,282,396,562,362,178,good
10.3,193.027,273,393,558,341,186,good
6.74,193.534,267,386,542,350,212,good
5.37,193.006,281,395,534,354,207,good
5.45,193.491,273,402,539,347,211,good
6.1,192.687,274,397,558,346,208,good
9.45,192.974,264,387,568,347,212,good
5.71,168.349,266,390,571,344,215,good
6,166.837,266,389,552,341,218,suspect
6.51,167.003,265,392,537,315,211,good
6.71,166.728,260,389,523,301,187,good
6.77,166.788,265,385,504,309,170,good
7.55,167.049,272,377,481,308,214,good
8.35,182.672,266,362,487,319,296,good
7.08,184.424,251,360,509,323,288,good
7.13,183.89,234,352,524,338,271,good
8.02,183.776,222,359,545,355,268,good
6.75,184.237,217,364,556,365,274,good
6.33,183.9,215,353,559,381,278,good
7.25,184.118,218,339,559,393,285,good
7.95,182.306,226,327,561,393,283,suspect
8.06,180.638,234,330,568,389,275,good
9.23,180.785,246,349,580,386,251,suspect
7.3,180.738,257,367,600,387,238,suspect
8.82,175.422,263,384,602,393,230,suspect
7.11,174.918,274,383,587,392,229,suspect
6.95,175.121,269,393,578,387,229,suspect
8.16,174.86,261,389,582,359,223,suspect
6.92,175.287,244,359,550,337,224,good
8.27,175.501,252,353,554,346,228,good
8.15,174.656,239,340,553,341,230,good
7.84,155.824,260,349,501,330,227,good
8.57,152.517,283,335,433,336,226,good
8.27,152.885,286,317,409,339,220,good
7.26,153.05,281,308,423,333,211,good
8.2,153.158,286,322,447,332,209,good
4.41,152.745,289,355,466,344,206,good
7.51,153.042,280,349,479,347,205,good
5.56,152.757,272,344,489,338,206,good
7.46,152.548,274,343,475,336,209,good
9.49,153.196,271,340,462,332,211,good
8.76,152.502,254,341,447,328,205,good
8.73,152.349,232,352,440,327,209,good
6.83,153.06,259,358,420,331,205,good
7.56,153.221,263,361,447,332,202,good
8.72,152.705,265,343,478,332,207,good
8.57,153.514,256,320,493,320,219,good
5.1,157.493,239,307,500,326,215,good
7.74,166.076,232,302,505,332,212,good
8.68,193.014,246,307,510,328,207,good
7.98,192.761,246,314,524,329,207,good
6.65,165.284,232,307,527,327,210,good
5.29,160.843,226,302,509,325,210,good
7.87,161.202,225,305,499,344,210,good
6.6,160.746,227,313,497,355,210,good
7.6,161.241,224,325,507,392,211,good
7.42,160.6,221,338,518,448,211,suspect
6.44,168.519,223,360,513,429,209,suspect
8.53,191.054,222,366,491,377,209,good
7.08,191.127,221,303,502,362,223,good
7.83,191.221,220,237,507,363,235,good
7.96,174.109,212,278,510,364,255,good
8.22,159.92,209,312,503,364,252,good
7.91,160.285,210,256,500,369,239,good
6.55,159.933,212,303,510,362,227,good
6.85,159.701,210,358,512,355,219,good
7.97,159.803,207,374,523,337,220,suspect
7.07,159.669,207,356,523,325,233,suspect
7.48,160.372,208,333,518,313,244,suspect
6.36,159.781,210,323,499,307,254,good
7.33,160.13,212,340,484,310,266,good
8.24,159.861,217,348,475,320,265,good
6.93,160.159,229,338,454,330,260,good
7.71,160.436,234,349,438,335,246,good
7.07,160.095,289,349,436,335,227,good
6.81,159.588,256,352,443,332,212,good
7.77,160.701,221,366,447,333,208,good
7.18,160.282,204,361,446,344,210,good
6.95,160.131,203,358,451,342,213,good
6.71,155.622,211,352,459,388,213,good
7.43,151.15,234,355,471,388,213,good
7.56,151.244,239,351,496,369,216,good
6.05,151.11,256,359,511,374,214,good
9.23,151.213,269,357,514,369,221,good
8.43,150.922,288,367,534,361,219,good
6.53,151.212,287,403,556,337,223,good
6.22,151.372,271,375,560,316,224,suspect
8.01,150.691,261,343,557,302,222,suspect
7.79,150.548,255,337,538,319,221,good
8.4,150.666,257,322,501,294,220,good
8.59,150.759,256,319,482,294,225,good
7.29,150.972,253,334,477,315,236,good
7.13,169.988,250,350,476,296,251,good
6.85,177.718,251,353,481,328,260,good
5.99,183.906,254,355,487,315,262,good
7.9,193.775,258,360,492,288,260,good
7.25,193.805,258,354,491,345,258,good
7.11,193.721,247,342,499,368,252,good
6.88,194.013,235,335,515,381,243,good
7.51,193.774,233,353,531,399,252,good
6.97,193.862,233,350,515,387,277,good
7.49,194.172,242,346,506,363,262,good
6.59,189.902,248,340,488,351,231,good
6.95,188.935,266,347,475,356,216,good
9.62,189.026,278,363,467,362,223,good
8.6,189.151,287,363,477,349,229,good
7.13,188.758,289,355,509,337,225,good
6.39,189.419,292,348,529,326,227,good
6.78,189.251,298,344,538,321,240,good
10.74,188.203,299,341,534,330,255,good
6.04,155.866,303,349,541,343,263,good
8.35,155.976,301,348,547,361,270,good
8.4,156.241,295,348,571,379,272,good
5.82,155.703,286,350,555,388,278,good
5.53,156.494,272,354,550,402,284,good
6.45,156.311,254,360,553,374,277,good
8.65,156.011,248,368,560,354,273,good
7.83,155.506,229,376,555,349,280,suspect
7.61,155.806,215,373,553,347,277,suspect
